date;Obitos;Confirmados;Infectados
2020-03-15;3;50;46
2020-03-16;3;56;46
2020-03-17;4;62;45
2020-03-18;4;68;48
2020-03-19;5;76;52
2020-03-20;5;84;55
2020-03-21;6;97;63
2020-03-22;7;111;72
2020-03-23;8;126;79
2020-03-24;9;146;92
2020-03-25;10;165;102
2020-03-26;12;189;110
2020-03-27;14;217;129
2020-03-28;15;244;144
2020-03-29;18;284;168
2020-03-30;21;326;192
2020-03-31;23;364;211
2020-04-01;26;411;235
2020-04-02;30;462;262
2020-04-03;32;506;280
2020-04-04;36;567;307
2020-04-05;41;637;336
2020-04-06;46;709;370
2020-04-07;50;780;413
2020-04-08;56;865;459
2020-04-09;61;954;501
2020-04-10;69;1066;569
2020-04-11;76;1176;623
2020-04-12;84;1300;688
2020-04-13;94;1446;757
2020-04-14;104;1605;842
2020-04-15;114;1759;910
2020-04-16;125;1932;998
2020-04-17;139;2145;1117
2020-04-18;154;2382;1246
2020-04-19;171;2643;1379
2020-04-20;190;2926;1520
2020-04-21;210;3236;1665
2020-04-22;233;3590;1840
2020-04-23;258;3982;2045
2020-04-24;286;4401;2258
2020-04-25;313;4818;2442
2020-04-26;346;5326;2706
2020-04-27;382;5887;2982
2020-04-28;422;6506;3316
2020-04-29;464;7147;3646
2020-04-30;512;7886;4021
2020-05-01;565;8702;4410
2020-05-02;622;9574;4828
2020-05-03;682;10500;5292
2020-05-04;751;11559;5830
2020-05-05;827;12727;6390
2020-05-06;911;14017;7032
2020-05-07;999;15383;7678
2020-05-08;1094;16845;8371
2020-05-09;1203;18517;9246
2020-05-10;1322;20344;10186
2020-05-11;1452;22339;11171
2020-05-12;1588;24443;12140
2020-05-13;1736;26708;13201
2020-05-14;1899;29223;14418
2020-05-15;2076;31949;15707
2020-05-16;2262;34806;16970
2020-05-17;2460;37858;18325
2020-05-18;2674;41152;19725
2020-05-19;2896;44555;21166
2020-05-20;3137;48265;22805
2020-05-21;3399;52298;24631
2020-05-22;3668;56445;26360
2020-05-23;3953;60830;28159
2020-05-24;4248;65367;29903
2020-05-25;4558;70123;31699
2020-05-26;4879;75074;33577
2020-05-27;5213;80215;35504
2020-05-28;5548;85364;37235
2020-05-29;5898;90742;39062
2020-05-30;6259;96302;40744
2020-05-31;6625;101930;42414
2020-06-01;6995;107623;44035
2020-06-02;7367;113341;45499
2020-06-03;7736;119018;46741
2020-06-04;8100;124625;47820
2020-06-05;8460;130161;48589
2020-06-06;8819;135689;49438
2020-06-07;9174;141147;50169
2020-06-08;9514;146374;50607
2020-06-09;9846;151487;50955
2020-06-10;10172;156500;51212
2020-06-11;10490;161386;51329
2020-06-12;10791;166021;51143
2020-06-13;11080;170471;50848
2020-06-14;11353;174669;50258
2020-06-15;11618;178742;49524
2020-06-16;11867;182584;48656
2020-06-17;12108;186292;47764
2020-06-18;12341;189870;46920
2020-06-19;12559;193216;45854
2020-06-20;12762;196352;44577
2020-06-21;12951;199257;43234
2020-06-22;13133;202049;41967
2020-06-23;13302;204653;40642
2020-06-24;13459;207062;39279
2020-06-25;13605;209314;37799
2020-06-26;13739;211380;36284
2020-06-27;13869;213369;34918
2020-06-28;13986;215177;33435
2020-06-29;14096;216876;32050
2020-06-30;14198;218444;30682
2020-07-01;14295;219935;29365
2020-07-02;14386;221338;28039
2020-07-03;14469;222608;26719
2020-07-04;14546;223794;25473
2020-07-05;14615;224851;24169
2020-07-06;14680;225852;22952
2020-07-07;14742;226807;21782
2020-07-08;14798;227675;20692
2020-07-09;14848;228440;19584
2020-07-10;14897;229192;18543
2020-07-11;14940;229861;17515
2020-07-12;14983;230516;16602
2020-07-13;15022;231110;15678
2020-07-14;15057;231658;14770
2020-07-15;15091;232178;13905
2020-07-16;15120;232617;13053
2020-07-17;15147;233032;12300
2020-07-18;15173;233436;11609
2020-07-19;15198;233817;10964
2020-07-20;15221;234172;10307
2020-07-21;15241;234479;9645
2020-07-22;15260;234777;9062
2020-07-23;15277;235044;8485
2020-07-24;15292;235275;7930
2020-07-25;15308;235515;7459
2020-07-26;15322;235731;6968
2020-07-27;15335;235935;6516
2020-07-28;15347;236108;6064
2020-07-29;15356;236257;5636
2020-07-30;15366;236404;5245
2020-07-31;15375;236541;4882
2020-08-01;15382;236658;4531
2020-08-02;15391;236792;4237
2020-08-03;15399;236908;3963
2020-08-04;15405;237008;3699
2020-08-05;15411;237107;3452
2020-08-06;15417;237194;3229
2020-08-07;15423;237282;3044
2020-08-08;15427;237348;2860
2020-08-09;15431;237409;2665
2020-08-10;15435;237467;2484
2020-08-11;15438;237517;2301
